127.0.0.1 - - [23/Nov/2022:18:57:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:26:41 +0900] "GET /Music/index.html HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:26:41 +0900] "GET /Music/css/style.css HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:26:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:26:47 +0900] "GET /Music/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:27:49 +0900] "GET /Music/index.html HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:27:49 +0900] "GET /Music/css/style.css HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:27:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:28:11 +0900] "GET /Music/index.html HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:28:11 +0900] "GET /Music/css/style.css HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:28:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:28:44 +0900] "GET /Music/index.html HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:28:44 +0900] "GET /Music/css/style.css HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:28:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:28:58 +0900] "GET /Music/index.html HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:28:58 +0900] "GET /Music/css/style.css HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:28:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:03 +0900] "GET /Music/index.html HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:03 +0900] "GET /Music/css/style.css HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:09 +0900] "GET /Music/index.html HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:09 +0900] "GET /Music/css/style.css HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:14 +0900] "GET /Music/index.html HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:14 +0900] "GET /Music/css/style.css HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:20 +0900] "GET /Music/index.html HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:20 +0900] "GET /Music/css/style.css HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:27 +0900] "GET /Music/index.html HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:27 +0900] "GET /Music/css/style.css HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:32 +0900] "GET /Music/index.html HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:32 +0900] "GET /Music/css/style.css HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:32 +0900] "GET /Music/index.html HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:32 +0900] "GET /Music/css/style.css HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:37 +0900] "GET /Music/index.html HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:37 +0900] "GET /Music/css/style.css HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:29:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:30:40 +0900] "GET /Music/index.html HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:30:40 +0900] "GET /Music/css/style.css HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:30:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
